Destinasi ,2. Alamat,3. Kalurahan/Kelurahan,4. Kapanewon/Kemantren,4.a.  Kabupaten /kota,5. Status Lahan,6. Koordinat,7. Kontak Pengelola 1,7. Kontak Pengelola 2,8. Situs/website,10.a. Facebook,10.b. Instagram,10.c. Youtube,10.d. Tiktok,11. Kelompok Perizinan berusaha Berbasis Risiko,Jenis Wisata,Rating Maps,Latitude,Longitude,Daya Tarik Utama,Harga Tiket Weekday,Harga Tiket Weekend dan Libur Nasional,Parkir Motor,Parkir Mobil,Jam Buka Weekday,Jam Buka Weekend dan Libur Nasional,Toilet,Tempat Sampah,CCTV,Area Parkir,Area Makanan/kafetaria/Restoran,Ruang Ibadah,Area Istirahat Pengunjung
Gua Song Gilap Anjani Kenteng ,"Klumpit , Kenteng",Kenteng ,Ponjong ,Gunungkidul,Tanah Kasultanan ,"7°57'54""S 110°45'13""E",0812-9515-1629,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.6,-7.964279431,110.7540063,Gua dengan formasi batuan kapur yang unik.,Rp0,Rp0,"Rp3,000","Rp5,000",08.00-18.00,08.00-18.00,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Tidak Ada,Tidak Ada
Hutan Pinus Asri,"Jl hutan pinus, Sukorame",Munthuk,Dlingo,Bantul,Perhutani,"-7.921007, 110.435522",089531493777,-,-,-,Explore_pinus_asri,-,-,Tidak Ada Keterangan,Alam,4.5,-7.920331753,110.4356516,Hutan pinus tinggi dengan kabut tipis ,"Rp3,000","Rp5,000","Rp3,000","Rp5,000",06.00-17.00,06.00-17.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Pantai Porok,Kemadang,Kemadang ,Tanjungsari ,Gunungkidul,Tanah Kasultanan ,"-.8.134106, 110.558069",-,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.6,-8.133270867,110.5580865,"Pantai dengan pasir putih, tebing karang, dan ombak yang tenang.","Rp15,000","Rp15,000","Rp2,000","Rp5,000",06.00-18.00,06.00-18.00,Ada,Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Candi Banyunibo,"cepit, bokoharjo",Bokoharjo,prambanan,Sleman,Tanah Kasultanan,"-7.7780738,110.4939192",087738161245 Dwi,-,-,-,-,-,-,Rendah,Sejarah,4.6,-7.777019022,110.4941324,Candi Buddha yang unik karena letaknya di tengah persawahan,"Rp5,000","Rp5,000","Rp2,000","Rp5,000",06.00-17.00,06.00-17.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Selopamioro Adventure Park,Jetis RT 4 Dukuh 1,Selopamioro ,Imogiri,Bantul,Pribadi,"-7.946278, 110.426585",085769275887,-,-,Selopamioro Adventure Park,Selopamioroadventurepark,-,-,Tidak Ada Keterangan,Alam,4.6,-7.945435626,110.4265602,"Taman rekreasi dengan berbagai aktivitas luar ruangan,kuliner dan susur sungai (wisata air)",Rp0,Rp0,"Rp2,000","Rp5,000",08.00-18.00,06.00-19.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Geoforest Watu Payung Turunan,Turunan,Girisuko,Panggang,Gunungkidul,Tanah Kasultanan,"7°58'27""S 110°26'11""E",088215100178,-,-,-,geoforestwatupayung,-,-,Tidak Ada Keterangan,Alam,4.5,-7.973654081,110.4364411,Formasi batuan unik yang menyerupai payung raksasa dengan pemandangan perbukitan yang indah,"Rp5,000","Rp5,000","Rp3,000","Rp5,000",05.00-17.00,05.00-17.00,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Ada,Ada
Pantai Srakung,Nujo,Pucung,Girisubo,Gunungkidul,Tanah Kasultanan,"-8.191111260575852, 110.78724748184165",082328078422,-,-,-,-,-,kim padukuhan nujo,Tinggi,Alam,4.5,-8.190072738,110.7875376,"Pantai dengan pasir putih dan batu-batu karang besar berbentuk unik, termasuk batu dengan lubang yang menyerupai lesung (lumbung).",Rp0,Rp0,"Rp5,000","Rp10,000",00.00-23.59,00.00-23.59,Tidak Ada,Ada,Tidak Ada,Ada,Tidak Ada,Tidak Ada,Tidak Ada
Pantai Sundak,Pulegundes,Tepus,Tepus,Gunungkidul,Tanah Kasultanan,"-8,146740S, 110,607289E",Tukijo 081337465553,-,-,-,-,-,-,Rendah,Alam,4.5,-8.146392193,110.6079104,pantai,"Rp15,000","Rp15,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Tidak Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Pantai Pringjono,"Bedalo, Kanigoro",Kanigoro,Saptosari,Gunungkidul,-,"-8.117012613136335, 110.49957054110058",-,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.4,-8.115908121,110.4991415,Pantai dengan suasana yang masih alami dan belum terjamah,"Rp5,000","Rp5,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Gunung Pinus Pengger,"Jl dlingo-pathuk, sendangsai, terong",Terong,Dlingo,Bantul,Perhutani ,"-7.871147, 110.459553",082135753988,-,-,-,Pinuspengger,-,-,Menengah Rendah,Alam,4.5,-7.869971715,110.4594922,"View city light, spot foto tangan, dan spot foto segitiga","Rp7,000","Rp7,000","Rp3,000","Rp5,000",08.00-21.00,08.00-21.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Air Terjun Grojogan Sewu,Beteng,Jatimulyo,Girimulyo,Kulon Progo,Pribadi,"-7,752526S 110,135792E",Mardiyanta 082244557235,Widayat 082181694444,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak Ada Keterangan,Alam,4.5,-7.661054125,111.1286649,"Air terjun dengan aliran air yang deras dan tinggi, dikelilingi oleh hutan yang rimbun.","Rp10,000","Rp10,000","Rp2,000","Rp3,000",08.00-16.00,08.00-16.30,Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Kebun Buah Mangunan,Mangunan,Mangunan,Dlingo,Bantul,Tanah sewa dari masyarakat dan TKD,"-7.9413607,110.4247313",(Ibu Rujiatmi) 081904115762,-,Tidak ada,Tidak ada,@kebun_buahmangunan,Tidak ada,Tidak ada,Tidak Ada Keterangan,Alam,4.7,-7.940648255,110.4244923,"Kebun buah yang menawarkan pemandangan ""lautan awan"" saat pagi har","Rp7,000","Rp8,000","Rp3,000","Rp5,000",05.00-17.30,05.00-17.30,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Kebun Teh Nglinggo,Nglinggo Barat,Pagerharjo,Samigaluh,Kulon Progo,Gereja Boro,"-7.647444690802905, 110.14183507976259 ",085228201142 (Anton),-,nlinggowisata.weebly.com,nglinggohilladventure,@nglinggo.official,@wisatanglinggo,-,Rendah,Alam,4.5,-7.64592954,110.14376639,Perpaduan kebun teh dan kehidupan pedesaan yang asri.,"Rp15,000","Rp15,000","Rp2,000","Rp5,000",07.00-18.00,07.00-18.00,Ada,Ada,Ada,Tidak Ada,Ada,Ada,Ada
Tankaman Kaliurang,"Kaliurang Timur, Kaliurang, Hargobinangun, Kec. Pakem",Hargobinangun,Pakem,Sleman,TKD,"-7.601145593919043, 110.43276076375514",081460426508,-,-,Tankaman Natural Park,tankaman.kaliurang,-,-,Tidak Ada Keterangan,Alam,4.6,-7.600681448,110.4328463,Pemandangan alam,Rp0,Rp0,"Rp3,000","Rp5,000",07.15-16.00,06.30-17.30,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Pantai Jogan,Purwodadi,Purwodadi,Tepus,Gunungkidul,Tanah Kasultanan,"-8.1801310,110.6762270",081392476603,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.3,-8.17602129,110.6769312,pantai,"Rp10,000","Rp10,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Ada,Ada
Pantai Somandeng,Ngasem,Tepus,Tepus,Gunungkidul,Tanah Kasultanan,"-8,149741S, 110,611350",Sukarsi 085725144526,-,-,-,-,-,-,Rendah,Alam,4.5,-8.141911971,110.6092563,Pantai dengan hamparan pasir putih yang luas,"Rp15,000","Rp15,000","Rp5,000","Rp10,000",00.00-23.59,00.00-23.59,Tidak Ada,Ada,Tidak Ada,Tidak Ada,Ada,Ada,Tidak Ada
Wisata Outbond Gunung Mungker,Padukuhan Pentirejo,Terong,Dlingo,Bantul,Tas Kas Desa / TKS,"-7.8758638, 110.4578777",(bapak Hariyanto Ketua Pelaksana) 081391460247,(bapak sugiyanto Sekretaris) 081802675184,-,@gunungmungker,@gunungmungker,Tidak ada,Tidak ada,Tidak Ada Keterangan,Alam,4.3,-7.874635903,110.4579185,View Puncak,"Rp3,000","Rp3,000","Rp3,000","Rp5,000",08.00-23.00,08.00-23.00,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Ada,Ada
Gua Jepang ,Ngerco,Girijati ,Pundong,Bantul,Tanah Kasultanan,"8°00'14""S 110°20'00""E",-,-,-,-,-,-,-,Tidak Ada Keterangan,Sejarah,4.4,-7.988240372,110.3290082,Jaringan gua buatan yang dibangun tentara Jepang pada Perang Dunia II,"Rp10,000","Rp10,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Tidak Ada,Ada,Tidak Ada,Ada
Masjid Gedhe Mataram,"Sayangan, Jagalan",Jagalan ,Banguntapan,Bantul,Tanah Kasultanan,"-7.829091313861248, 110.39816766561363",08157950506,-,-,-,-,-,-,Tidak Ada Keterangan,Sejarah,4.8,-7.828668632,110.3980181,Masjid dari zaman Kerajaan Mataram ,Rp0,Rp0,"Rp3,000","Rp5,000",08.00-18.00,08.00-18.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Bukit lintang sewu,Larang Asen RT 06,Muntuk,Dlingo,Bantul,DLHK DIY,"-7.9157902,110.4366453",082133813765 (bapak anwar),082137074667 (bapak Bejo hariadi ketua pengelola),tidak ada,tidak ada,@bukitLintang sewu,tidak ada,"
@bukitLintangsewu",Rendah,Alam,4.5,-7.914900762,110.4366842,Pemandangan malam kota Yogyakarta yang dihiasi lampu.,"Rp5,000","Rp5,000","Rp2,000","Rp5,000",06.00-22.00,06.00-22.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Puncak Becici,Gunung cilik,Muntuk,Dlingo,Bantul,kehutanan,"-7.9020246, 110.4374648",082329077770,082329055550 (admin),Tidak ada,@puncakbecici,@puncakbecici,@puncakbecici,"@puncak becici
@puncakbecicioficial",Rendah,Alam,4.6,-7.901837122,110.4373896,Hutan pinus yang terken,"Rp7,000","Rp7,000","Rp3,000","Rp5,000",06.00-22.00,06.00-22.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Museum Anaia Alisha,"jalan kesehatan, kaliurang",hargobinangun,pakem,Sleman,shm,"-7.5999681492366, 110.42829744916504",+62 274 2257 100,info@museumkaliurang.id,museumkaliurang.id,MNusantara Kaliurang,museu.anaia.alisha,museumanaiaalisha,Aamuseum,Rendah,Sejarah,4.4,-7.598164081,110.4281886,museum perdagangan rempah,"Rp50,000","Rp50,000","Rp3,000","Rp5,000",09.00-21.00,07.00-21.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Makam Girigondo,"Balong, Kaligintung",Kaligintung,Temon,Kulon Progo,Tanah Pakualaman,"7°52'15""S 110°05'37""E",081328474224,-,-,-,-,-,-,Tidak Ada Keterangan,Sejarah,4.8,-7.86728746,110.09001172,Kompleks makam tokoh spiritual dan sejarah.,Rp0,Rp0,"Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Ada,Ada
Pantai Wediombo,Pantai Wediombo,Jepitu,Girisubo,Gunungkidul,Tanah Kasultanan dan SHM,"-8.189407118869791, 110.71032417257497",081392222393,-,-,-,go.wediombo,-,-,Menengah Rendah,Alam,4.5,-8.183789539,110.7090218,Pantai dengan teluk yang luas dan batu karang yang unik,"Rp8,000","Rp8,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Pantai Nglambor,Ngandong,Purwodadi,Tepus,Gunungkidul,SHM,"-8.1828171,110.6791254",085292329871,-,-,-,pantainglamborlestari,-,pantainglamborlestari,Tidak Ada Keterangan,Alam,4.5,-8.180918552,110.6794116,pantai dengan terumbu karang alami yang membentuk laguna,"Rp10,000","Rp10,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Gua Gajah Lemahbang ,Lemahbang RT 28 ,Mangunan,Dlingo,Bantul,Perorangan dari 9 warga ,"-7.9444256, 110.4405718",081931772024,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.2,-7.943543653,110.4404074,Gua alam dengan formasi stalaktit dan stalagmit dan terdapat Batu alami mirip patung gajah,"Rp10,000","Rp10,000","Rp2,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Tidak Ada,Ada
Puncak Suroloyo,Gerbosari,Gerbosari,Samigaluh,Kulon Progo,"Tanah Kasultanan, SHM, Dspar Kulon Progo","-7.644138100782094, 110.18839021573953",085601536686 (Susilo),-,-,-,@puncaksuroloyo,-,@puncaksuroloyo,Rendah,Alam,4.6,-7.637204611,110.181583832,Titik tertinggi di Pegunungan Menoreh ,"Rp10,000","Rp10,000","Rp2,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Museum Pendidikan Indonesia,"kampus pusat UNY, Jl. Colombo No1",Caturtunggal,Depok,Sleman,milik universitas,"-777460, 110.38763",(0274) 586168,mpi@uby.ac.id,mpi@uby.ac.id,-,@mpi.uny,-,-,Tidak Ada Keterangan,Sejarah,4.6,-7.773479108,110.3871569,Realita kelas tempo dulu,"Rp10,000","Rp10,000","Rp3,000","Rp5,000",08.00-15.30,closed,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Bukit Wisata Pule Payung,"Soropati, RT.007/RW.003, Clapar 2",Hargotirto,Kokap,Kulon Progo,SHM,"-7.799645164075295, 110.12359953306787",082325388407,-,-,Bukit Wisata Pulepayung,pulepayung,-,pulepayung_official,Tidak Ada Keterangan,Alam,4.5,-7.799067834,110.123866,Wisata alam dengan Spot foto yang ikonis dengan pemandangan Waduk Sermo,"Rp20,000","Rp20,000","Rp3,000","Rp5,000",08.00-18.00,08.00-18.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Puncak Kleco,Duwet,Purwoharjo,Samigaluh,Kulon Progo,Sertifikat Hak Milik (SHM),"-7.712354520192935, 110.20451089510608",081381808479,-,-,-,@wisatapuncakkleco,-,@puncakkleco,Rendah,Alam,4.5,-7.7112886,110.2044517,Pemandangan panorama perbukitan,"Rp6,000","Rp6,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Ada,Ada
Candi Barong,"Dusun candi sari, dowang sari, sambirejo, prambanan",Sambirejo,prambanan,Sleman,Tanah Kasultanan,"-7.7757687,110.4972834",087738161245 Dwi,-,-,-,-,-,-,Rendah,Sejarah,4.6,-7.774993032,110.4973597,Candi Hindu dengan Arsitektur candi yang khas dengan relief Barong dan pemandangan perbukitan.  ,"Rp5,000","Rp5,000","Rp2,000","Rp5,000",07.00-17.00,07.00-17.00,Ada,Ada,Ada,Ada,Tidak Ada,Tidak Ada,Ada
Lembah Kars Mulo (Watu Mabur Lemahbang Rock Cliff),Mulo,Mulo,Wonosari ,Gunungkidul,Perhutani ,"-8.029105, 110.590946",081328644776,-,-,-,Geosite_ngingrong,-,-,Tidak Ada Keterangan,Alam,4.5,-7.946222381,110.440916,Kawasan perbukitan karst yang menjadi lanskap khas Gunungkidul.,"Rp3,000","Rp3,000","Rp2,000","Rp5,000",00.00-23.59,00.00-23.59,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Museum Perjuangan,Jl. Kolonol Sugiona No.24 Yogyakarta,Brontokusuman,Mergangsan ,Kota Yogyakarta,Tanah Kasultanan,"-7.8164039, 110.3717583",(Bapak Mad) 087705172288,(Admin) 088802769746,-,-,@museumperjuanganyogyakarta,-,-,Tidak Ada Keterangan,Sejarah,4.6,-7.815320067,110.3720067,Koleksi benda-benda bersejarah yang berkaitan dengan perjuangan kemerdekaan Indonesia,"Rp5,000","Rp5,000","Rp3,000","Rp5,000",08.00-16.00,08.00-16.00,Ada,Ada,Ada,Ada,Tidak Ada,Ada,Tidak Ada
Puncak Sosok,"Puncak Sosok, Jambon, Bawuran",Bawuran ,Pleret,Bantul,Tanah kas desa ,"7°52'18""S 110°25'34""E",08564314990,-,linktr.ee/puncak_sosok,-,puncak_sosok,-,puncaksosokofficial,Tidak Ada Keterangan,Alam,4.7,-7.872314048,110.4268722,Pemandangan alam,"Rp5,000","Rp5,000","Rp2,000","Rp5,000",06.00-23.00,06.00-23.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Pantai Ngrenehan ,Pantai Ngrenehan,Kanigoro,Saptosari,Gunungkidul,Tanah Kas Desa,"-8.121009415718673, 110.51423369445516",082227888155,-,-,Pantai Ngrenehan,pantaingrenehangunungkidul,-,-,Tidak Ada Keterangan,Alam,4.5,-8.121050124,110.5142486,Pelabuhan nelayan yang ramai dan menjadi pusat aktivitas jual beli ikan dan kuliner,"Rp10,000","Rp10,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Eks. Pengepul Nila Bulurejo,RT 01/ Rw 01,Ngento,Pengasih,Kulon Progo,Sultan Ground,"7°50'35""S 110°09'52""E",-,-,-,-,-,-,-,Tidak Ada Keterangan,Sejarah,4.8,-7.842891303,110.1644966,Bangunan eks Pengepul Nila Bulurejo banyak menyimpan benda purbakala yang mampu mengungkapkan sejarah  wilayah Kabupaten Kulonprogo di masa-masa lalu. Yaitu mulai dari masa pra sejarah hingga terbentuknya tata pemerintahan di Yogyakarta.,Rp0,Rp0,Rp0,Rp0,00.00-23.59,00.00-23.59,Ada,Ada,Ada,Ada,Tidak Ada,Ada,Ada
Museum Batik,Jl. Dr. Sutomo 13 A Yogyakarta,Bausasran,Danurejan,Kota Yogyakarta,Pribadi,"7°47'51""S 110°22'50""E",85809047810,infomuseumbatik@gmail.com,www.museumbatik.com,-,museumbatikyogyakartaofficial,museumbatikyogyakarta9541,museumbatikofficial,Tidak Ada Keterangan,Budaya,5.0,-7.778658965,110.378634,Kunjungan museum,"Rp30,000","Rp30,000","Rp3,000","Rp5,000",09.00-16.00,09.00-16.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Sesar Opak Bukit Mengger,"Lapangan Drone, Jl. Mirah Delima No.9b, Kembang Songo",Trimulyo,Jetis,Bantul,-,"-7.8902079, 110.3955925",-,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.5,-7.889910982,110.3955844,Patahan geologi yang sangat penting untuk studi kegempaan,Rp0,Rp0,"Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Gunung Gajah ,"Jl. Sermo - Girimulyo, Katerban",Hargotirto ,Kokap,Kulon Progo,SHM,"-7.776293230509922, 110.10694749010497",-,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.5,-7.3376970,110.4326310,Pemandangan perbukitan yang hijau dan Waduk Sermo,"Rp10,000","Rp10,000","Rp2,000","Rp5,000",09.00-17.00,09.00-17.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Monumen Jogja Kembali,"Jl. Ring Road Utara, Jongkang",sariharjo,ngaglik,Sleman,Hak Guna Bangunan (HGB),"-7.749581500992041, 110.36960949649144",868225 / 097820406400,myk@monjali-jogja.com,www.monjali-jogja.com,monjali,monjaliyogyakarta,-,museum_monjaliofficial,Rendah,Sejarah,4.5,-7.748668428,110.369792,sejarah perjuangan,"Rp15,000","Rp15,000","Rp3,000","Rp5,000",08.00-16.00,08.00-16.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Museum Kereta Kraton/ Museum Wahanarata,"Jl. Rotowijayan I, Kompleks Ndalem Kraton",Kadipaten,Kraton,Kota Yogyakarta,Tanah Kasultanan,"7°48'19""S 110°21'47""E",082226373138,-,-,Museum Wahanarata,wahanarata,-,museum_keretakraton,Tidak Ada Keterangan,Budaya,4.7,-7.804516008,110.362551,Kereta Keraton (Kereta Kuda),"Rp20,000","Rp20,000","Rp3,000","Rp5,000",09.00-15.00,09.00-15.00,Ada,Ada,Ada,Ada,Tidak Ada,Tidak Ada,Ada
Pantai Bekah,Temon,Giripurwo,Purwosari,Gunungkidul,Tanah Kasultanan,"8°04'23""S 110°22'45""E",-,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.4,-8.070838981,110.37527,Tebing curam di atas laut yang menawarkan pemandangan panorama,"Rp10,000","Rp10,000","Rp2,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Tidak Ada,Ada
Gunung Ireng,"Ngrancahan, Pengkok",Pengkok,Patuk ,Gunungkidul,"Tanah Kasultanan, Sebagian SHM untuk Area Parkir dan Fasilitas Lainnya","-7.8808727346155445, 110.48906109044826",085842758236 (LURAH PENGKOK),-,-,-,gunungireng,-,-,Tidak Ada Keterangan,Alam,4.6,-7.880186684,110.4888819,Bukit yang menawarkan pemandangan matahari terbit dan bimasakti pada malam hari,"Rp12,000","Rp12,000","Rp2,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Tidak Ada,Ada,Tidak Ada,Ada
Museum Memorial Jendral Besar HM Soeharto,"Jl. Nulis-Puluhan, Srontakan",Argomulyo,Sedayu,Bantul,Sertifikat Hak Milik (SHM),"-7.791190017980297, 110.28048540687718",087738980703,-,-,-,@museumsoeharto,-,@museumsoeharto,Menengah Tinggi,Sejarah,4.5,-7.790114639,110.2807677,Museum yang didedikasikan untuk mengenang perjalanan hidup Jenderal Soeharto.,Rp0,Rp0,"Rp3,000","Rp5,000",08.30-15.30,08.30-15.30,Ada,Ada,Ada,Ada,Tidak Ada,Ada,Ada
Wisata Alam Kembang Soka ,Gunungkelir RT 24 RW 06,Jatimulyo,Girimulyo,Kulon Progo,SHM,"-7.7667180,110.1178437",085292122131,-,-,-,kembangsokawaterfall,-,-,Tidak Ada Keterangan,Alam,4.7,-7.76663100,110.11779783,Air terjun berundak dengan aliran air yang jernih dan kolam-kolam alami.,"Rp11,000","Rp11,000","Rp3,000","Rp5,000",08.00-16.00,08.00-16.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Sendra Tari Ramayana Ballet (Outdoor),Klurak,Bokoharjo,Prambanan,Sleman,Tanah Kasultanan,"-7.75305,110.4884",0274 496408,085803525354,www.borobudurpark.com,-,ramayanaprambanan,-,ramayanaprambanan,Menengah Rendah,Budaya,4.8,-7.752336027,110.4884556,Pertunjukan tari kolosal yang menceritakan kisah Ramayana dengan latar Candi Prambanan,"Rp165,000","Rp165,000","Rp3,000","Rp5,000",19.30-21.30,19.30-21.30,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Air Terjun Srigethuk,"Mungguran II, Bleberan",Bleberan,Playen,Gunungkidul,"Tanah Kasultanan, Kementerian Kehutanan","-7.943069960165249, 110.48919714908206",085334005700,-,-,-,@srigethukofficial,Air Terjun Sri Gethuk,-,Rendah,Alam,4.4,-7.942963709,110.4892293,Air terjun bertingkat yang diapit tebing karst dengan pemandangan hijau,"Rp15,000","Rp15,000","Rp2,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Pantai Parangendog,Parangreja,Girijati,Purwosari,Gunungkidul,Tanah Kasultanan,"7°58'43""S 110°22'44""E",-,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.7,-8.026350193,110.343391,Pantai dengan tebing yang menjadi landasan untuk olahraga paralayang.,"Rp5,000","Rp5,000","Rp3,000","Rp10,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Tidak Ada,Ada,Tidak Ada,Ada
Museum Peta ,"Fakultas Geografi, Universitas Gadjah Mada, Jl. Kaliurang, Bulaksumur, Yogyakarta ",Caturtunggal,Depok,Sleman,,,,,,,,,,,Sejarah,4.6,-6.584154218,106.7964141,"Kpleksi Peta kuno, peralatan survei dan pemetaan klasik","Rp10,000","Rp10,000","Rp3,000","Rp5,000",08.00-14.30,closed,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Gunung Api Purba Nglanggeran,Nglanggeran Wetan,Nglanggeran ,Patuk ,Gunungkidul,Tanah Kasultanan dan SHM (fasilitas pendukung),"-7.842818021951673, 110.53787762143197",087838747151,-,Desa Wisata Nglanggeran.id,Desa Wisata Nglanggeran,desawisatanglanggeran dan gunungapipurba,-,gunungapipurba,Tidak Ada Keterangan,Alam,4.6,-7.83853473,110.5382853,Gunung api purba yang memiliki formasi batuan andesit raksasa,"Rp15,000","Rp15,000","Rp2,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Pantai Drini,Padukuhan Wonosobo 1,Banjarejo,Tanjungsari,Gunungkidul,Tanah Kasultanan,-8.1384349. 110.5775223,085713028906 pak joko,-,-,-,@pantaidrinigunungkidul,-,-,Menengah Rendah,Alam,4.5,-8.138216689,110.5775367,Pantai Dan Wisata Kano,"Rp15,000","Rp15,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Museum Wayang Beber Sekartaji ,"GG Pancasila Kanutan, Sumbermulyo Bambanglipuro bantul",Sumbermulyo ,Bambanglipuro ,Bantul,Swasta/ Pribadi,"-7.924773, 110.308224",085643222222,-,Wayangbeber.org,R indra suroinggeno (akun pribadi),Museum wayang beber sekartaji,Museum wayang beber sekartaji ,-,Rendah,Budaya,4.7,-7.924212123,110.3082948,"Koleksi wayang beber, naskah kuno, lontar","Rp20,000","Rp20,000","Rp3,000","Rp5,000",08.00-16.00,08.00-21.00,Ada,Ada,Ada,Ada,Tidak Ada,Tidak Ada,Ada
Air Terjun Kedung Pedut,Kembang,Jatimulyo,Girimulyo,Kulon Progo,SHM,"-7.770005,110.121083",08529580901,-,-,kedungpedut,kedungpedut,-,aieterjunkedungpedut,Tidak Ada Keterangan,Alam,4.5,-7.769782275,110.1210654,Air terjun bertingkat dengan kolam air berwarna toska dan putih.,"Rp11,000","Rp11,000","Rp3,000","Rp5,000",08.00-15.30,08.00-16.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Pantai Midodaren,Kanigoro,Kanigoro,Saptosari,Gunungkidul,Tanah Kasultanan,"-8.125046621404046, 110.521557910412",082232370184,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.5,-8.09296978,110.5174381,Pantai,"Rp8,000","Rp8,000","Rp5,000","Rp10,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
